seqnames start end strand gene_id
1 chr9 35083371 35093143 - ENSDARG00000000001
2 chr9 35060460 35084513 + ENSDARG00000000002
3 chr4 14146777 14169064 - ENSDARG00000000018
4 chr4 14076733 14125268 + ENSDARG00000000019
5 chr12 34979366 35032034 + ENSDARG00000000068
6 chr24 22678238 22711533 - ENSDARG00000000069
7 chr1 47492921 47586925 - ENSDARG00000000086
8 chr10 13048113 13142776 - ENSDARG00000000102
9 chr6 7469900 7575100 + ENSDARG00000000103
10 chr10 13242869 13255059 + ENSDARG00000000142
11 chr3 34773318 34838901 - ENSDARG00000000151
12 chr20 25388671 25465996 - ENSDARG00000000161
13 chr3 24043391 24046072 + ENSDARG00000000175
14 chr22 11889988 11943467 - ENSDARG00000000183
15 chr16 32470419 32621272 + ENSDARG00000000189
16 chr22 11866190 11869256 + ENSDARG00000000212
17 chr22 544734 556858 + ENSDARG00000000229
18 chr9 42176170 42186921 + ENSDARG00000000241
19 chr2 37704438 37725422 + ENSDARG00000000324
20 chr21 21943482 21947697 + ENSDARG00000000349
21 chr9 14366561 14385128 - ENSDARG00000000369
22 chr16 10070124 10325662 - ENSDARG00000000370
23 chr14 26083459 26112198 - ENSDARG00000000380
24 chr8 37148083 37375493 - ENSDARG00000000384
25 chr14 26157838 26178044 - ENSDARG00000000394
26 chr7 33964184 33979710 + ENSDARG00000000423
27 chr7 34028400 34050526 + ENSDARG00000000442
28 chr7 18483911 18487161 - ENSDARG00000000460
29 chr11 24880281 24902464 + ENSDARG00000000472
30 chr23 5772956 5779350 - ENSDARG00000000474
31 chr9 42039266 42098105 - ENSDARG00000000476
32 chr14 34314308 34326116 - ENSDARG00000000489
33 chr19 5782509 5878902 - ENSDARG00000000503
34 chr9 42118917 42150977 - ENSDARG00000000516
35 chr9 56719107 56746660 + ENSDARG00000000529
36 chr9 42156150 42163091 - ENSDARG00000000540
37 chr9 28725210 28753631 - ENSDARG00000000542
38 chr13 24655104 24671375 - ENSDARG00000000551
39 chr9 43806035 43946743 - ENSDARG00000000563
40 chr3 38757673 38778733 - ENSDARG00000000567
41 chr22 21167801 21244942 - ENSDARG00000000568
42 chr23 32438167 32474701 - ENSDARG00000000588
43 chr1 20837616 21057496 + ENSDARG00000000606
44 chr9 29973993 30062951 - ENSDARG00000000631
45 chr6 41131364 41133418 + ENSDARG00000000638
46 chr9 42113337 42118916 + ENSDARG00000000651
47 chr19 7742916 7744909 + ENSDARG00000000656
48 chr9 7269599 7280355 - ENSDARG00000000666
49 chr8 25932413 25943401 + ENSDARG00000000690
50 chr19 7636988 7656206 - ENSDARG00000000729
51 chr6 41049773 41069719 - ENSDARG00000000730
52 chr9 28753825 28767636 + ENSDARG00000000747
53 chr13 24889141 24893148 - ENSDARG00000000760
54 chr7 33979183 33993855 - ENSDARG00000000767
55 chr17 28830138 28856505 - ENSDARG00000000779
56 chr23 32389912 32401389 - ENSDARG00000000796
57 chr10 13173370 13199802 + ENSDARG00000000804
58 chr24 39302832 39326502 + ENSDARG00000000830
59 chr17 33364052 33407598 + ENSDARG00000000837
60 chr22 448429 482107 - ENSDARG00000000853
61 chr8 24680514 24713662 + ENSDARG00000000857
62 chr7 43889852 44003019 + ENSDARG00000000861
63 chr23 32339781 32346187 + ENSDARG00000000887
64 chr16 23018783 23062136 + ENSDARG00000000906
65 chr12 37187320 37231157 - ENSDARG00000000935
66 chr6 7166378 7197114 + ENSDARG00000000943
67 chr8 45419869 45564976 - ENSDARG00000000966
68 chr21 26126820 26363007 + ENSDARG00000000972
69 chr1 1318859 1331666 - ENSDARG00000001009
70 chr3 5725973 5826325 - ENSDARG00000001014
71 chr19 7588557 7611390 - ENSDARG00000001015
72 chr22 525997 533134 - ENSDARG00000001057
73 chr25 36312278 36332586 + ENSDARG00000001127
74 chr17 19250142 19293508 - ENSDARG00000001129
75 chr8 46121698 46195595 + ENSDARG00000001154
76 chr14 26141374 26156636 - ENSDARG00000001162
77 chr19 7796149 7802230 + ENSDARG00000001169
78 chr7 33959194 33963968 - ENSDARG00000001210
79 chr9 17562093 17802548 - ENSDARG00000001220
80 chr7 18817302 18859354 + ENSDARG00000001234
81 chr7 43876256 43887769 + ENSDARG00000001241
82 chr17 25267801 25282040 + ENSDARG00000001244
83 chr14 5400841 5413376 - ENSDARG00000001249
84 chr25 36366303 36430814 + ENSDARG00000001259
85 chr7 7835606 7853891 + ENSDARG00000001285
86 chr19 7728374 7767084 - ENSDARG00000001303
87 chr17 28857835 28870857 - ENSDARG00000001313
88 chr6 41075067 41091883 + ENSDARG00000001354
